permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,2001-12-31,2002-03-31,2002-06-30,0.070,0.977,1.171,3.135,XOM
11850,2001-12-31,2002-03-31,2002-07-31,0.070,0.977,1.171,2.816,XOM
11850,2001-12-31,2002-06-30,2002-08-31,0.062,0.965,1.171,2.590,XOM
11850,2001-12-31,2002-06-30,2002-09-30,0.062,0.965,1.171,2.330,XOM
11850,2001-12-31,2002-06-30,2002-10-31,0.062,0.965,1.171,2.459,XOM
11850,2001-12-31,2002-09-30,2002-11-30,0.059,0.964,1.154,2.566,XOM
11850,2001-12-31,2002-09-30,2002-12-31,0.059,0.964,1.154,2.576,XOM
11850,2001-12-31,2002-09-30,2003-01-31,0.059,0.964,1.154,2.507,XOM
11850,2002-12-31,2002-12-31,2003-02-28,0.062,1.009,1.154,2.503,XOM
11850,2002-12-31,2002-12-31,2003-03-31,0.062,1.009,1.154,2.567,XOM
11850,2002-12-31,2002-12-31,2003-04-30,0.062,1.009,1.154,2.586,XOM
11850,2002-12-31,2003-03-31,2003-05-31,0.079,1.007,1.158,2.511,XOM
11850,2002-12-31,2003-03-31,2003-06-30,0.079,1.007,1.158,2.477,XOM
11850,2002-12-31,2003-03-31,2003-07-31,0.079,1.007,1.158,2.454,XOM
11850,2002-12-31,2003-06-30,2003-08-31,0.084,1.013,1.170,2.499,XOM
11850,2002-12-31,2003-06-30,2003-09-30,0.084,1.013,1.170,2.426,XOM
11850,2002-12-31,2003-06-30,2003-10-31,0.084,1.013,1.170,2.425,XOM
11850,2002-12-31,2003-09-30,2003-11-30,0.087,1.011,1.169,2.358,XOM
11850,2002-12-31,2003-09-30,2003-12-31,0.087,1.011,1.169,2.670,XOM
11850,2002-12-31,2003-09-30,2004-01-31,0.087,1.011,1.169,2.640,XOM
11850,2003-12-31,2003-12-31,2004-02-29,0.098,0.901,1.197,2.517,XOM
11850,2003-12-31,2003-12-31,2004-03-31,0.098,0.901,1.197,2.479,XOM
11850,2003-12-31,2003-12-31,2004-04-30,0.098,0.901,1.197,2.529,XOM
11850,2003-12-31,2004-03-31,2004-05-31,0.091,0.964,1.192,2.533,XOM
11850,2003-12-31,2004-03-31,2004-06-30,0.091,0.964,1.192,2.601,XOM
11850,2003-12-31,2004-03-31,2004-07-31,0.091,0.964,1.192,2.712,XOM
11850,2003-12-31,2004-06-30,2004-08-31,0.093,0.948,1.221,2.653,XOM
11850,2003-12-31,2004-06-30,2004-09-30,0.093,0.948,1.221,2.781,XOM
11850,2003-12-31,2004-06-30,2004-10-31,0.093,0.948,1.221,2.832,XOM
11850,2003-12-31,2004-09-30,2004-11-30,0.096,0.942,1.270,2.873,XOM
11850,2003-12-31,2004-09-30,2004-12-31,0.096,0.942,1.270,2.873,XOM
11850,2003-12-31,2004-09-30,2005-01-31,0.096,0.942,1.270,2.892,XOM
11850,2004-12-31,2004-12-31,2005-02-28,0.096,0.880,1.405,3.291,XOM
11850,2004-12-31,2004-12-31,2005-03-31,0.096,0.880,1.405,3.098,XOM
11850,2004-12-31,2004-12-31,2005-04-30,0.096,0.880,1.405,2.966,XOM
11850,2004-12-31,2005-03-31,2005-05-31,0.100,0.929,1.369,2.875,XOM
11850,2004-12-31,2005-03-31,2005-06-30,0.100,0.929,1.369,2.940,XOM
11850,2004-12-31,2005-03-31,2005-07-31,0.100,0.929,1.369,3.006,XOM
11850,2004-12-31,2005-06-30,2005-08-31,0.101,0.928,1.413,3.029,XOM
11850,2004-12-31,2005-06-30,2005-09-30,0.101,0.928,1.413,3.213,XOM
11850,2004-12-31,2005-06-30,2005-10-31,0.101,0.928,1.413,2.839,XOM
11850,2004-12-31,2005-09-30,2005-11-30,0.108,0.924,1.452,2.812,XOM
11850,2004-12-31,2005-09-30,2005-12-31,0.108,0.924,1.452,2.722,XOM
11850,2004-12-31,2005-09-30,2006-01-31,0.108,0.924,1.452,2.997,XOM
11850,2005-12-31,2005-12-31,2006-02-28,0.110,0.842,1.584,2.745,XOM
11850,2005-12-31,2005-12-31,2006-03-31,0.110,0.842,1.584,2.814,XOM
11850,2005-12-31,2005-12-31,2006-04-30,0.110,0.842,1.584,2.909,XOM
11850,2005-12-31,2006-03-31,2006-05-31,0.110,0.908,1.517,2.743,XOM
11850,2005-12-31,2006-03-31,2006-06-30,0.110,0.908,1.517,2.763,XOM
11850,2005-12-31,2006-03-31,2006-07-31,0.110,0.908,1.517,2.997,XOM
11850,2005-12-31,2006-06-30,2006-08-31,0.115,0.904,1.535,2.914,XOM
11850,2005-12-31,2006-06-30,2006-09-30,0.115,0.904,1.535,2.890,XOM
11850,2005-12-31,2006-06-30,2006-10-31,0.115,0.904,1.535,3.017,XOM
11850,2005-12-31,2006-09-30,2006-11-30,0.116,0.899,1.540,3.256,XOM
11850,2005-12-31,2006-09-30,2006-12-31,0.116,0.899,1.540,3.248,XOM
11850,2005-12-31,2006-09-30,2007-01-31,0.116,0.899,1.540,3.141,XOM
11850,2006-12-31,2006-12-31,2007-02-28,0.118,0.890,1.552,3.030,XOM
11850,2006-12-31,2006-12-31,2007-03-31,0.118,0.890,1.552,3.179,XOM
